,id,match_api_id,home_team_api_id,Hometeam_rating,Awayteam_rating,league,avg_player_rating
369,370,665614,8342,70.15842597345562,59.89984419620782,Belgium Jupiler League,65.02913508483172
370,371,665616,9985,71.20410162228343,49.38549783549783,Belgium Jupiler League,60.29479972889063
371,372,665617,9997,65.54600550964187,60.403142386431156,Belgium Jupiler League,62.974573948036515
372,373,665619,10000,66.320875871588,64.89328239100966,Belgium Jupiler League,65.60707913129883
373,374,665620,9991,68.04238192322087,62.35803270803271,Belgium Jupiler League,65.20020731562678
374,375,665622,10001,58.513331928455706,72.94332022855855,Belgium Jupiler League,65.72832607850712
375,376,665623,9993,66.05729879894318,59.30134045521043,Belgium Jupiler League,62.67931962707681
376,377,665626,8635,73.18328746852579,70.46781646219394,Belgium Jupiler League,71.82555196535986
377,378,665628,9987,61.5425073243255,65.93785448121368,Belgium Jupiler League,63.74018090276959
378,379,665630,9986,58.7691437748854,72.85723994052186,Belgium Jupiler League,65.81319185770363
379,380,665632,9994,65.00980266410889,68.05839923923818,Belgium Jupiler League,66.53410095167354
380,381,665633,8571,66.46607944936824,63.721197527768666,Belgium Jupiler League,65.09363848856844
381,382,665634,8203,64.45670551670551,66.68572592737031,Belgium Jupiler League,65.57121572203792
382,383,665635,9999,49.38549783549783,53.89665486029123,Belgium Jupiler League,51.641076347894526
383,384,665326,8342,69.36783137197867,65.58822843822843,Belgium Jupiler League,67.47802990510354
384,385,665327,8635,73.13823049709964,64.69455922865015,Belgium Jupiler League,68.9163948628749
385,386,665328,9997,59.76914600550965,53.306535260405234,Belgium Jupiler League,56.53784063295744
386,387,665329,10000,66.25701032536952,68.01772739930634,Belgium Jupiler League,67.13736886233792
387,388,665330,9991,67.30875552844027,65.11196540832904,Belgium Jupiler League,66.21036046838466
388,389,665332,10001,63.3392150313801,63.938725490196084,Belgium Jupiler League,63.63897026078809
389,390,665333,9993,66.7686760654675,71.96184367012559,Belgium Jupiler League,69.36525986779654
390,391,665639,8342,70.5602587421362,64.76015566924657,Belgium Jupiler League,67.66020720569139
391,392,665641,9985,70.94961193634214,64.4179611722674,Belgium Jupiler League,67.68378655430476
392,393,665642,9997,53.89665486029123,63.7878021978022,Belgium Jupiler League,58.842228529046714
393,394,665643,10000,65.01815751151672,59.24363495875873,Belgium Jupiler League,62.130896235137726
394,395,665645,9986,58.45470527221161,55.30822510822511,Belgium Jupiler League,56.881465190218364
395,396,665647,9991,67.7637895478543,73.18328746852579,Belgium Jupiler League,70.47353850819005
396,397,665651,9993,66.53348927513365,62.62145262145262,Belgium Jupiler League,64.57747094829313
397,398,665653,8635,72.53997644590441,66.12194539030459,Belgium Jupiler League,69.3309609181045
398,399,665654,9987,63.511883243462194,53.89665486029123,Belgium Jupiler League,58.70426905187671
399,400,665655,9984,64.76232017141109,71.03782856785249,Belgium Jupiler League,67.9000743696318
400,401,665657,9994,64.9813220538101,66.53348927513366,Belgium Jupiler League,65.75740566447189
401,402,665659,8571,66.48575421904299,70.423624543002,Belgium Jupiler League,68.45468938102249
402,403,665661,8203,57.85051463687827,58.31834163584797,Belgium Jupiler League,58.08442813636312
403,404,665662,9999,50.66580086580087,67.90504093746091,Belgium Jupiler League,59.285420901630886
404,405,665665,8342,70.07787549407114,58.38520361737285,Belgium Jupiler League,64.231539555722
405,406,665666,9985,71.64083182756202,73.18328746852579,Belgium Jupiler League,72.41205964804391
406,407,665667,9997,59.6435261707989,65.12273619522423,Belgium Jupiler League,62.38313118301157
407,408,665668,9986,52.241871047612676,61.19022366522367,Belgium Jupiler League,56.71604735641817
408,409,665669,9991,67.75744377758754,59.69462867791745,Belgium Jupiler League,63.726036227752495
409,410,665671,9999,56.137632997863186,64.58830724830726,Belgium Jupiler League,60.36297012308522
410,411,665672,9993,66.4150452191896,65.1860120592334,Belgium Jupiler League,65.8005286392115
411,412,665674,9987,68.04807852965747,70.16715268153015,Belgium Jupiler League,69.10761560559382
412,413,665675,10000,65.6749756933349,65.63871122290095,Belgium Jupiler League,65.65684345811792
413,414,665677,9984,64.37126678035769,53.22845113419276,Belgium Jupiler League,58.79985895727522
414,415,665679,9994,65.61803400086687,61.4588451190753,Belgium Jupiler League,63.53843955997108
415,416,665680,8571,66.32430069930071,66.0957864550779,Belgium Jupiler League,66.21004357718931
416,417,665681,8203,64.4496126096126,72.45522576695596,Belgium Jupiler League,68.45241918828428
417,418,665682,10001,58.056592834216616,61.330038574095376,Belgium Jupiler League,59.69331570415599
418,419,665686,9985,72.4598234681054,65.13148348977226,Belgium Jupiler League,68.79565347893883
419,420,665687,9997,65.54600550964187,64.26285513252435,Belgium Jupiler League,64.90443032108311
420,421,665688,9986,58.075204380946005,65.57624496715404,Belgium Jupiler League,61.82572467405002
421,422,665689,9991,67.99042818448498,66.12194539030459,Belgium Jupiler League,67.05618678739478
422,423,665692,8203,58.26850220486585,64.64541561863696,Belgium Jupiler League,61.4569589117514
423,424,665694,9999,55.646723906954094,69.86945900103795,Belgium Jupiler League,62.75809145399602
424,425,665695,9993,65.65936340100778,73.29692383216216,Belgium Jupiler League,69.47814361658497
425,426,665698,8635,73.48614612502082,65.43856749311296,Belgium Jupiler League,69.46235680906689
426,427,665699,9987,69.7326624642414,72.52441838697801,Belgium Jupiler League,71.12854042560971
427,428,665700,10000,65.29272461108381,69.8152367834186,Belgium Jupiler League,67.5539806972512
428,429,665702,9984,64.16196925969652,61.4588451190753,Belgium Jupiler League,62.81040718938591
